"Source","Row","Data","Error"
"Inventory",28,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-04-05Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""04-05Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""7"",""Inventory Blocked"":""0"",""Bad Inventory"":""4"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",29,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-05-06Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""05-06Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""1"",""Inventory Blocked"":""0"",""Bad Inventory"":""6"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",30,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-06-07Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""06-07Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""5"",""Inventory Blocked"":""1"",""Bad Inventory"":""9"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",31,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-07-08Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""07-08Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""8"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",32,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-08-09Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""08-09Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""6"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",33,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-09-10Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""09-10Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""14"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",34,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-02-03Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""02-03Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""1"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",35,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-03-04Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""03-04Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",36,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-04-05Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""04-05Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",37,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-05-06Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""05-06Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",38,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-06-07Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""06-07Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",39,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-07-08Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""07-08Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",40,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-08-09Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""08-09Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
